Year,Sem,College,Dept,Num,Section,Instructor,Course Name,Course Level,Total # Students,# Responses,Response Rate,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
2026,Spring,Heinz College,AEM,93870,A,"SKOPOV, Emily",INTRO WRTG FOR TV,Graduate,10,6,60,9,4.33,3.67,4,4,4.33,4.17,4.17,4,4.17
2026,Spring,Heinz College,AEM,93872,L,"GREENBERG, BONNIE",MUSIC SUPERVISION,Graduate,12,2,16.7,3.5,2.5,1.5,2,2,3.5,2.5,3,2.5,2.5
2026,Spring,Heinz College,AEM,93873,L,"GREEN, DANIEL",FILM EXHIBITION,Graduate,11,4,36.4,6.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
2026,Spring,Heinz College,AEM,93873,L,"ALCARAZ AGUILAR, ALBERTO",FILM EXHIBITION,Graduate,11,4,36.4,6.5,4,3.25,4,4,4.25,3.75,5,3.75,3.5
2026,Spring,Heinz College,AEM,93878,L,"ONG, SHELLEY",BRANDED ENTERTAIN,Graduate,12,2,16.7,9.5,5,5,5,5,5,5,5,5,5
2026,Spring,Heinz College,AEM,93880,A4,"SAUL, ANDREW",PRODUCTION FINANCE,Graduate,32,11,34.4,5.82,4,4.18,3.91,3.73,4.18,4.09,4.45,3.82,3.82
2026,Spring,Heinz College,AEM,93880,A4,"GLASSMAN, MICHAEL",PRODUCTION FINANCE,Graduate,32,11,34.4,5.55,4.27,4.27,4.2,3.8,4.4,4.18,4.55,3.91,3.91
2026,Spring, College of Fine Arts,ARC,48026,A,"WORKINGER, HEATHER",SND YR SEM:ARCH ED,Undergraduate,45,3,6.7,2,4.67,5,5,5,5,5,5,5,4.67
2026,Spring, College of Fine Arts,ARC,48105,1,"YANG, TOMMY",ARC DSGN STU: POES 2,Undergraduate,65,14,21.5,22.36,4.79,4.64,4.57,4.71,4.71,4.5,4.86,4.71,4.57
2026,Spring, College of Fine Arts,ARC,48105,D,"MARKIEWICZ, TONYA",ARC DSGN STU: POES 2,Undergraduate,10,1,10,11,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48105,A,"CHANG, GLORIA",ARC DSGN STU: POES 2,Undergraduate,32,1,3.1,24,,,,,,,,,
2026,Spring, College of Fine Arts,ARC,48105,B,"GROFF, BRAD",ARC DSGN STU: POES 2,Undergraduate,12,1,8.3,24,3,3,3,3,2,2,3,3,3
2026,Spring, College of Fine Arts,ARC,48105,C,"HITCH, NEAL",ARC DSGN STU: POES 2,Undergraduate,11,1,9.1,24,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48111,A,"TORELLO, FRANCESCA",EXPLR PGH,Undergraduate,69,13,18.8,2,4.23,4.08,4,3.54,3.92,3.77,4.31,3.62,3.15
2026,Spring, College of Fine Arts,ARC,48112,C,"SONTAG, Steven",DIGI FAB SKLS,Undergraduate,14,4,28.6,2,4.25,3.75,4.25,4.75,4.5,4.5,4.75,4.25,4
2026,Spring, College of Fine Arts,ARC,48112,E,"SONTAG, Steven",DIGI FAB SKLS,Undergraduate,13,2,15.4,2,3.5,3.5,3.5,3.5,3,3,3.5,3.5,3
2026,Spring, College of Fine Arts,ARC,48112,D,"SONTAG, Steven",DIGI FAB SKLS,Undergraduate,14,1,7.1,2,3,3,3,3,3,3,4,3,3
2026,Spring, College of Fine Arts,ARC,48112,A,"SONTAG, Steven",DIGI FAB SKLS,Undergraduate,13,0,0,,,,,,,,,,
2026,Spring, College of Fine Arts,ARC,48112,B,"SONTAG, Steven",DIGI FAB SKLS,Undergraduate,14,4,28.6,2,4.25,4,4.25,3.75,4.5,4,4.75,4,4
2026,Spring, College of Fine Arts,ARC,48125,A,"HUBER, MATTHEW",DIG MEDIA II,Undergraduate,67,13,19.4,3.15,2.85,2.77,2.69,3,2.46,2.92,4,2.69,2.54
2026,Spring, College of Fine Arts,ARC,48126,A,"COOPER, DOUGLAS",DRAWING II,Undergraduate,70,18,25.7,6.83,4.61,4.41,4.53,4.65,4.24,4.59,4.53,4.47,4.41
2026,Spring, College of Fine Arts,ARC,48205,1,"FICCA, JEREMY",ARC OPTNS STU: COR 3,Undergraduate,43,5,11.6,17.6,5,5,5,4.8,4.6,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48205,B,"ACHNANI, VICKY",ARC OPTNS STU: COR 3,Undergraduate,11,4,36.4,22.5,5,4.5,4.5,4.5,4.75,4.75,4.75,4.75,4.75
2026,Spring, College of Fine Arts,ARC,48205,A,"ABRAHAM, JARED",ARC OPTNS STU: COR 3,Undergraduate,12,0,0,,,,,,,,,,
2026,Spring, College of Fine Arts,ARC,48205,D,"LEE, STEPHANIE",ARC OPTNS STU: COR 3,Undergraduate,10,1,10,24,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48205,C,"DANES, STEFANI",ARC OPTNS STU: COR 3,Undergraduate,10,8,80,16.63,4.25,4.25,4.5,4.13,4.63,4.38,4.88,4.38,4.38
2026,Spring, College of Fine Arts,ARC,48240,A,"SHAW, DIANE",HIS WLD ARC,Undergraduate,74,21,28.4,6,4.14,4.05,4.33,3.1,4.19,4.19,3.86,4.05,3.76
2026,Spring, College of Fine Arts,ARC,48241,A,"GUTSCHOW, KAI",MOD HIS ARCH & THRY,Undergraduate,51,4,7.8,6.5,4.5,4.5,4.25,4,4.75,4.75,4.25,4.5,4.25
2026,Spring, College of Fine Arts,ARC,48247,A,"NOEL, VERNELLE",FUND COMP DES,Undergraduate,44,11,25,9.36,2.36,2,2.36,2.09,2.55,2.18,2.36,2.27,2.45
2026,Spring, College of Fine Arts,ARC,48305,1,"KWON, JONGWAN",ARC DSGN STU: PRXS 2,Undergraduate,41,22,53.7,22,4.64,4.68,4.64,4.59,4.45,4.5,4.36,4.41,4.27
2026,Spring, College of Fine Arts,ARC,48305,A,"BOFFI, LIZA",ARC DSGN STU: PRXS 2,Undergraduate,10,9,90,22.44,4.22,3.78,3.78,3.89,4.11,3.89,3.89,3.89,3.78
2026,Spring, College of Fine Arts,ARC,48305,C,"KARIMI, MARYAM",ARC DSGN STU: PRXS 2,Undergraduate,11,7,63.6,23.57,4.43,3.29,3.29,4.43,4,3.29,4.29,3.86,3.71
2026,Spring, College of Fine Arts,ARC,48305,B,"FISHER, KRISTINA",ARC DSGN STU: PRXS 2,Undergraduate,10,6,60,22.33,4,3.83,3.67,3.5,3.5,3.67,3.5,3.5,3.33
2026,Spring, College of Fine Arts,ARC,48305,D,"MCCULLOUGH, JOEL",ARC DSGN STU: PRXS 2,Undergraduate,10,7,70,21.57,4.29,4.33,4.17,4.33,4.17,4.5,4.67,4.17,4.67
2026,Spring, College of Fine Arts,ARC,48309,A,"NOEL, VERNELLE",HER COMP DIG,Undergraduate,3,1,33.3,11,5,5,4,4,5,5,5,5,4
2026,Spring, College of Fine Arts,ARC,48324,1,"LEE, JUNEY",STRU DSG 2 (UG),Undergraduate,41,37,90.2,12.22,3.49,3.65,3.68,3.24,3.81,3.22,3.16,3.32,3.24
2026,Spring, College of Fine Arts,ARC,48328,A,"DAMIANI, GERARD",DETAILG ARCHITECTURE,Undergraduate,4,2,50,17,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48355,A,"COOPER, DOUGLAS",PERSPECTIVE,Undergraduate,10,4,40,7.25,5,4.75,4.75,5,4.75,4.5,4.75,5,5
2026,Spring, College of Fine Arts,ARC,48367,A,"TORELLO, FRANCESCA",MATERIAL HISTORIES,Undergraduate,7,1,14.3,8,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48380,A,"VOLCY, ALICIA",CONSTRU VLU,Undergraduate,40,24,60,8.46,2.25,2.46,2.38,2.29,2.71,2.38,2.88,2.33,2.04
2026,Spring, College of Fine Arts,ARC,48381,A,"ALENJERY, NILOUFAR",IOP,Undergraduate,46,15,32.6,8,4,3.87,4.14,3.79,4,4,4.33,4,3.73
2026,Spring, College of Fine Arts,ARC,48383,A,"NISA, RICHARD",ETHICS IN ARCH,Undergraduate,46,17,37,7.65,4,3.88,3.81,3.5,4.25,4.06,4.31,3.94,3.63
2026,Spring, College of Fine Arts,ARC,48386,A3,"ABRAHAM, JARED",PORT RES PREP,Undergraduate,8,1,12.5,2,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48410,G,"STONE, ANDREW",ASOS II,Undergraduate,7,6,85.7,20.17,4.67,5,4.83,4.83,5,4.83,5,4.83,4.83
2026,Spring, College of Fine Arts,ARC,48410,1,"FICCA, JEREMY",ASOS II,Undergraduate,37,7,18.9,23,3.83,4,3.83,3.83,4,4.17,3.83,3.83,4
2026,Spring, College of Fine Arts,ARC,48410,E,"HAYES, HAL",ASOS II,Undergraduate,5,5,100,24,4.8,3.6,4.2,4.2,4.4,3.8,4.2,4.2,3.6
2026,Spring, College of Fine Arts,ARC,48410,B,"BIZON, HEATHER",ASOS II,Undergraduate,4,2,50,14,4.5,3.5,4,4,4.5,3.5,5,4.5,4.5
2026,Spring, College of Fine Arts,ARC,48410,F,"REHMAN, NIDA",ASOS II,Undergraduate,5,0,0,,,,,,,,,,
2026,Spring, College of Fine Arts,ARC,48410,A,"ANKLESARIA, SAROSH",ASOS II,Undergraduate,9,7,77.8,19,4.86,4,4.57,4.57,4.71,4.43,4.57,4.57,4.43
2026,Spring, College of Fine Arts,ARC,48410,D,"GAROFALO, LAURA",ASOS II,Undergraduate,7,2,28.6,24,4.5,3.5,3.5,4.5,4.5,4.5,5,4,4
2026,Spring, College of Fine Arts,ARC,48425,A,"SINDI, TULIZA",EX-CHANGE EXB & PUB,Undergraduate,8,2,25,2,3.5,3,5,4,5,3,5,3,2.5
2026,Spring, College of Fine Arts,ARC,48432,A,"PAN, YIQUN",ENV II,Undergraduate,41,39,95.1,8,3.46,3.31,3.33,3.08,3.56,3.21,3.79,3.26,3.21
2026,Spring, College of Fine Arts,ARC,48442,A,"CHEN, XIN",HIST ASIAN ARCH,Undergraduate,18,4,22.2,7.25,4.25,4.5,4.25,4.25,4.5,4.5,4.75,4.5,4.5
2026,Spring, College of Fine Arts,ARC,48485,A,"SAWYER, NATHAN",DSN DOC IN REVIT,Undergraduate,17,11,64.7,4.73,4.55,4.82,4.82,4.64,4.64,4.73,4.82,4.73,4.73
2026,Spring, College of Fine Arts,ARC,48510,A,"ANKLESARIA, SAROSH",ASOS IV,Undergraduate,3,3,100,18.67,4.67,4.67,4.67,4,5,5,4,4.5,4.33
2026,Spring, College of Fine Arts,ARC,48510,D,"GAROFALO, LAURA",ASOS IV,Undergraduate,3,1,33.3,21,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48510,1,"FICCA, JEREMY",ASOS IV,Undergraduate,20,4,20,15.75,4.25,3.75,4,4,4,4,4.25,4,4
2026,Spring, College of Fine Arts,ARC,48510,C,"FICCA, JEREMY",ASOS IV,Undergraduate,7,1,14.3,11,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48510,G,"STONE, ANDREW",ASOS IV,Undergraduate,4,4,100,20.5,5,4.75,5,5,5,4.75,5,5,5
2026,Spring, College of Fine Arts,ARC,48510,B,"BIZON, HEATHER",ASOS IV,Undergraduate,2,1,50,11,3,3,3,3,3,3,4,3,3
2026,Spring, College of Fine Arts,ARC,48516,A4,"FISHER, KRISTINA",CRNVL GTWY,Undergraduate,14,6,42.9,6.5,4.67,5,4.67,4.83,4.5,4.83,5,4.83,4.83
2026,Spring, College of Fine Arts,ARC,48516,A4,"HITCH, NEAL",CRNVL GTWY,Undergraduate,14,6,42.9,6,4.83,4.83,4.67,4.67,4.67,4.67,4.83,4.67,4.83
2026,Spring, College of Fine Arts,ARC,48517,A,"HITCH, NEAL",CRNVL GTWY PROJ MGMT,Graduate,3,0,0,,,,,,,,,,
2026,Spring, College of Fine Arts,ARC,48519,A,"ISSAIAS, THEODOSSIS THEO",ARC STUDIO: TH II/IP,Undergraduate,17,2,11.8,24,4,3,3,3,4,3,3,3,2
2026,Spring, College of Fine Arts,ARC,48519,A,"ALENJERY, NILOUFAR",ARC STUDIO: TH II/IP,Undergraduate,17,2,11.8,20.5,3,3,2.5,1.5,3,3,2,1.5,1.5
2026,Spring, College of Fine Arts,ARC,48545,A,"ACHNANI, VICKY",DES FAB,Undergraduate,8,5,62.5,8,5,4.6,4.6,5,4.8,5,4.8,4.6,4.8
2026,Spring, College of Fine Arts,ARC,48554,A,"GAROFALO, LAURA",ENTANGLED,Undergraduate,3,3,100,6,4.33,4.33,4.33,3.67,5,4.33,4.67,4.33,4.67
2026,Spring, College of Fine Arts,ARC,48569,A,"KURLAND, KRISTEN",GIS CAFM,Undergraduate,5,2,40,9.5,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48575,A3,"COCHRAN, ERICA",NOMAS COMP,Undergraduate,5,0,0,,,,,,,,,,
2026,Spring, College of Fine Arts,ARC,48575,A4,"BATES, WILLIAM",NOMAS COMP,Undergraduate,12,4,33.3,7.25,4.75,4.5,4.5,4.5,4.5,4.75,5,4.75,4.75
2026,Spring, College of Fine Arts,ARC,48599,E,"COCHRAN, ERICA",INDEPENDENT STUDY,Undergraduate,5,0,0,,,,,,,,,,
2026,Spring, College of Fine Arts,ARC,48609,A,"NOEL, VERNELLE","HER, COMP, DIG",Graduate,2,1,50,8,5,2,3,2,5,3,5,4,3
2026,Spring, College of Fine Arts,ARC,48614,F,"LEE, STEPHANIE",NEW PEDGOG,Graduate,4,0,0,,,,,,,,,,
2026,Spring, College of Fine Arts,ARC,48615,A,"LEE, JOSHUA",EXP IN REUSE,Graduate,7,2,28.6,8,5,4.5,4,4.5,5,4.5,5,5,4.5
2026,Spring, College of Fine Arts,ARC,48616,A4,"HITCH, NEAL",CRNVL GTWY,Graduate,5,2,40,3.5,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48616,A4,"FISHER, KRISTINA",CRNVL GTWY,Graduate,5,2,40,3.5,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48627,A3,"NEWMAN- PERRY, MORGAN",EXPL AFTR ARCH PRAC,Graduate,4,1,25,5,5,4,5,3,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48632,A,"CHENG, JIMMY",TAXONAVIG DGT SPC,Graduate,6,4,66.7,9.5,5,4.75,4.75,5,4.75,4.75,4.75,4.75,4.75
2026,Spring, College of Fine Arts,ARC,48638,1,"LEE, JUNEY",STRUC DGN 2 (GRAD),Graduate,16,11,68.8,11.64,4.18,4.27,4.36,4,4.55,3.91,4,4,3.7
2026,Spring, College of Fine Arts,ARC,48640,A,"BOFFI, LIZA",MARCHSTUDIO PRX II,Graduate,16,4,25,24,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48640,A,"HUBER, MATTHEW",MARCHSTUDIO PRX II,Graduate,16,4,25,21.5,4.75,5,4.75,5,5,4.75,5,5,5
2026,Spring, College of Fine Arts,ARC,48640,A,"DAVIS, JEFFREY",MARCHSTUDIO PRX II,Graduate,16,4,25,21.5,4.75,5,4.75,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48641,A,"GUTSCHOW, KAI",MOD ARCH HIST & THRY,Graduate,2,0,0,,,,,,,,,,
2026,Spring, College of Fine Arts,ARC,48642,A,"CHEN, XIN",(HIST ASIAN ARCH),Graduate,6,3,50,5,3.67,4.33,4.33,2.67,4.33,4,4.33,3.67,3.67
2026,Spring, College of Fine Arts,ARC,48647,A,"MCCULLOUGH, JOEL",MAT & CONSTR SYS,Graduate,16,6,37.5,11,3.5,3.83,4.17,3.5,3.83,3.67,4.5,3,3.5
2026,Spring, College of Fine Arts,ARC,48648,A,"KARIMI, MARYAM",ETHICS GRAD,Graduate,26,13,50,8,4.38,4.08,4.23,4.31,4.23,4.31,3.77,3.85,3.69
2026,Spring, College of Fine Arts,ARC,48649,A,"MCNUTT, MICK",DSGN LDRSHP,Graduate,27,9,33.3,3,3.78,3.56,3.56,3.22,3.44,3.44,4.89,3.44,3.33
2026,Spring, College of Fine Arts,ARC,48658,A,"GROFF, BRAD",CODES ZONING,Graduate,16,4,25,5.75,3.5,3.75,3.75,3.5,3.75,3.75,4.5,3.5,3.5
2026,Spring, College of Fine Arts,ARC,48660,B,"BIZON, HEATHER",ASOS II MARCH,Graduate,6,5,83.3,15.4,3,2.4,2.8,1.8,3.4,3,4,2.6,2.4
2026,Spring, College of Fine Arts,ARC,48660,C,"FICCA, JEREMY",ASOS II MARCH,Graduate,5,2,40,19,4,5,4,4.5,4.5,4.5,5,4.5,4.5
2026,Spring, College of Fine Arts,ARC,48660,1,"FICCA, JEREMY",ASOS II MARCH,Graduate,23,1,4.3,24,4,5,4,4,4,4,5,4,4
2026,Spring, College of Fine Arts,ARC,48660,E,"HAYES, HAL",ASOS II MARCH,Graduate,7,4,57.1,21.5,5,4.5,4.5,4.75,4.75,4.5,5,4.75,4.5
2026,Spring, College of Fine Arts,ARC,48660,D,"GAROFALO, LAURA",ASOS II MARCH,Graduate,2,1,50,24,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48660,F,"REHMAN, NIDA",ASOS II MARCH,Graduate,2,0,0,,,,,,,,,,
2026,Spring, College of Fine Arts,ARC,48661,A3,"CLAUS, LORI",PROF DVP,Graduate,9,2,22.2,2,5,4.5,5,5,4.5,5,5,4.5,5
2026,Spring, College of Fine Arts,ARC,48667,A,"TORELLO, FRANCESCA",MATL HIST,Graduate,5,1,20,5,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48668,A,"ACHNANI, VICKY",SAN BAMBOO GRNHS,Graduate,12,6,50,6.5,4.83,5,4.83,4.83,5,4.67,4.67,4.83,4.83
2026,Spring, College of Fine Arts,ARC,48670,A,"ISSAIAS, THEODOSSIS THEO",MARCH THESIS,Graduate,4,2,50,22.5,5,4.5,4.5,4,5,4,3.5,4.5,4
2026,Spring, College of Fine Arts,ARC,48670,A,"ALENJERY, NILOUFAR",MARCH THESIS,Graduate,4,2,50,22.5,4.5,4,4,4,5,4.5,3.5,4,4
2026,Spring, College of Fine Arts,ARC,48677,A3,"DANES, STEFANI",HINES COMP,Graduate,12,3,25,13.33,4.67,4.67,4,4.33,4.33,4.33,4.33,4.33,4.67
2026,Spring, College of Fine Arts,ARC,48685,A,"SAWYER, NATHAN",(DSN DOC IN REVIT),Graduate,10,4,40,4.25,4.25,4.25,4.5,4.25,4.5,4.25,4.75,4.5,4.25
2026,Spring, College of Fine Arts,ARC,48692,A,"SAWYER, AZADEH",SHAPING DAYLIGHT,Graduate,9,8,88.9,7.63,4.63,4.38,4.75,4.38,4.38,4.38,4.38,4.63,4.25
2026,Spring, College of Fine Arts,ARC,48701,A,"GAROFALO, LAURA",ENTANGLED,Graduate,3,3,100,5,4.67,4.67,4.33,4.33,5,4.67,5,4.67,5
2026,Spring, College of Fine Arts,ARC,48706,A,"REHMAN, NIDA",URBAN STUDIO II,Graduate,2,1,50,14,4,5,5,4,5,4,5,4,5
2026,Spring, College of Fine Arts,ARC,48708,A,"KLINE, JONATHAN",MUD STUDIO IV,Graduate,7,2,28.6,12.5,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48711,C,"LEE, JOSHUA",PARADGMS RESCH ARCH,Graduate,8,6,75,8.5,5,5,4.83,4.67,4.83,5,5,4.83,4.67
2026,Spring, College of Fine Arts,ARC,48711,B,"LEE, JOSHUA",PARADGMS RESCH ARCH,Graduate,15,8,53.3,6.5,4.75,4.88,4.88,5,4.88,4.88,5,4.75,4.63
2026,Spring, College of Fine Arts,ARC,48712,A,"GRUBER, STEFAN",MUD GRAD SEM II: GLO,Graduate,6,1,16.7,2,4,5,5,4,5,5,4,5,5
2026,Spring, College of Fine Arts,ARC,48713,A,"MONDOR, CHRISTINE",MUD URB EC,Graduate,6,4,66.7,8.75,4.75,4.5,4.75,4.75,5,4.75,5,4.75,4.5
2026,Spring, College of Fine Arts,ARC,48715,A,"BYRNE, DARAGH",MSCD PRE-THESIS 1,Graduate,13,11,84.6,7.73,4.45,4.45,4.64,4.45,4.55,4.55,4.64,4.64,4.55
2026,Spring, College of Fine Arts,ARC,48721,A,"ZHAO, Tiancheng",BCD,Graduate,13,9,69.2,8.33,3.56,3.78,3.78,3.44,3.89,3.67,4,3.44,3.78
2026,Spring, College of Fine Arts,ARC,48721,A,"BETZ, FREDERIK",BCD,Graduate,13,9,69.2,9.5,4.5,4.5,4.63,4.63,4.88,4.75,4.88,4.63,4.5
2026,Spring, College of Fine Arts,ARC,48722,A,"PAN, YIQUN",BPM,Graduate,20,17,85,10.59,3.76,3.47,3.65,3.53,3.82,3.65,4.41,3.63,3.47
2026,Spring, College of Fine Arts,ARC,48732,A,"SUAREZ, LOUIS",SUSTAIN DSGN SYNTHES,Graduate,16,14,87.5,21.14,4.79,4.64,4.57,4.5,4.79,4.57,4.79,4.71,4.64
2026,Spring, College of Fine Arts,ARC,48732,A,"CUPKOVA, DANA",SUSTAIN DSGN SYNTHES,Graduate,16,14,87.5,21.14,4.79,4.71,4.79,4.57,4.79,4.79,4.71,4.71,4.79
2026,Spring, College of Fine Arts,ARC,48735,A,"SHAW, DIANE",MDRN MEX,Graduate,5,2,40,3.5,4.5,5,5,4,4,5,4,4.5,4.5
2026,Spring, College of Fine Arts,ARC,48737,A,"DAMIANI, GERARD",DETAILING GRAD,Graduate,3,3,100,9,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48751,A,"PANGARO, PAUL",LAB CYB ENG WCKD CHG,Graduate,3,2,66.7,9.5,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48756,A,"HAMEEN, NAJEEB",PROJ PLNNG RPRTG,Graduate,7,2,28.6,3.5,4,3.5,4,4,4,4,5,4,4
2026,Spring, College of Fine Arts,ARC,48757,A,"WEI, JIAYING",ARCH ROBO PERC,Graduate,12,7,58.3,5.86,4.71,4.57,4.57,4.86,4.57,4.43,4.86,4.71,4.71
2026,Spring, College of Fine Arts,ARC,48759,A4,"BATES, WILLIAM",VALUE BASED DSG IND,Graduate,9,3,33.3,9,5,4,4.33,4.67,4.67,4.33,5,4.33,3.67
2026,Spring, College of Fine Arts,ARC,48769,V,"LOFTNESS, VIVIAN",M.S. THESIS/PROJECT,Graduate,9,4,44.4,18.25,5,4.5,4.5,5,4.75,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48769,B,"BYRNE, DARAGH",M.S. THESIS/PROJECT,Graduate,4,3,75,16.33,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48769,C,"CARDOSO LLACH, DANIEL",M.S. THESIS/PROJECT,Graduate,4,2,50,16,4.5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48769,F,"BARD, JOSHUA",M.S. THESIS/PROJECT,Graduate,3,2,66.7,20.5,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48769,M,"NOEL, VERNELLE",M.S. THESIS/PROJECT,Graduate,3,1,33.3,11,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48773,1,"LI, Suzy",EMRGNG MEDIA URBNSM,Graduate,5,3,60,8,5,4.67,5,4.67,5,5,4.67,5,5
2026,Spring, College of Fine Arts,ARC,48779,A4,"SHEN, Stella",COMP FAB,Graduate,4,1,25,5,4,4,4,4,5,5,5,4,4
2026,Spring, College of Fine Arts,ARC,48781,A,"KURLAND, KRISTEN",GIS/CAFM,Graduate,19,10,52.6,8.9,4.5,4.6,4.7,4.6,4.5,4.6,4.9,4.6,4.5
2026,Spring, College of Fine Arts,ARC,48785,A,"FICCA, JEREMY",MAAD RES PROJ,Graduate,7,2,28.6,14,5,5,5,5,5,5,5,5,5
2026,Spring, College of Fine Arts,ARC,48786,A3,"ABRAHAM, JARED",PORT RES PREP,Graduate,2,0,0,,,,,,,,,,
